Gene start (bp),Gene end (bp),Gene name,Transcript start (bp),Transcript end (bp)
84193332,84593512,Bnc2,84193847,84593323
84193332,84593512,Bnc2,84194396,84210167
84193332,84593512,Bnc2,84194482,84210383
84193332,84593512,Bnc2,84194681,84210105
84193332,84593512,Bnc2,84194681,84210105
84193332,84593512,Bnc2,84211451,84593233
84193332,84593512,Bnc2,84211451,84593233
84193332,84593512,Bnc2,84211475,84425976
84193332,84593512,Bnc2,84211814,84593264
84193332,84593512,Bnc2,84211841,84593234
84193332,84593512,Bnc2,84211872,84451633
84193332,84593512,Bnc2,84306920,84593236
84193332,84593512,Bnc2,84309164,84593234
84193332,84593512,Bnc2,84309196,84464856
84193332,84593512,Bnc2,84309289,84593315
84193332,84593512,Bnc2,84329391,84464527
84193332,84593512,Bnc2,84329416,84441930
84193332,84593512,Bnc2,84464449,84593236
25979176,25979496,1700080C20Rik,25979176,25979496
78290616,78298213,Mpst,78290616,78294435
78290616,78298213,Mpst,78290975,78298213
78290616,78298213,Mpst,78291001,78294776
78290616,78298213,Mpst,78294182,78298206
78290616,78298213,Mpst,78290912,78298202
78290616,78298213,Mpst,78291001,78298202
36203569,36208323,2310061I04Rik,36203569,36208012
36203569,36208323,2310061I04Rik,36203569,36208323
36203569,36208323,2310061I04Rik,36203575,36206205
36203569,36208323,2310061I04Rik,36203579,36208003
36203569,36208323,2310061I04Rik,36203723,36206812
36203569,36208323,2310061I04Rik,36205936,36207965
36203569,36208323,2310061I04Rik,36206663,36207500
36203569,36208323,2310061I04Rik,36206812,36207995
36203569,36208323,2310061I04Rik,36207165,36208204
102737810,102738134,Gm42816,102737810,102738134
102738906,102739313,Gm33952,102738906,102739313
102788096,102788384,Gm33866,102788096,102788384
55149785,55446489,Dclk1,55149785,55446489
55149785,55446489,Dclk1,55149947,55378737
55149785,55446489,Dclk1,55154492,55154904
55149785,55446489,Dclk1,55154700,55163812
55149785,55446489,Dclk1,55261555,55385340
55149785,55446489,Dclk1,55358394,55387973
55149785,55446489,Dclk1,55369149,55378739
55149785,55446489,Dclk1,55369320,55443973
55149785,55446489,Dclk1,55369337,55424621
55149785,55446489,Dclk1,55369337,55442556
55149785,55446489,Dclk1,55369337,55443972
55149785,55446489,Dclk1,55369393,55429703
55149785,55446489,Dclk1,55435300,55441733
55149785,55446489,Dclk1,55149947,55446485
55149785,55446489,Dclk1,55369179,55446485
3706992,3709896,Rps9,3706992,3709896
3706992,3709896,Rps9,3707037,3709894
3706992,3709896,Rps9,3707040,3707876
3706992,3709896,Rps9,3707041,3707720
3706992,3709896,Rps9,3707047,3708428
3706992,3709896,Rps9,3707051,3709856
3706992,3709896,Rps9,3707319,3709875
3706992,3709896,Rps9,3707324,3709380
3706992,3709896,Rps9,3707363,3709893
3706992,3709896,Rps9,3708615,3709227
59485200,59514575,Celf6,59485200,59514575
59485200,59514575,Celf6,59485475,59514575
59485200,59514575,Celf6,59485475,59514575
59485200,59514575,Celf6,59485620,59514575
59485200,59514575,Celf6,59496571,59514574
59485200,59514575,Celf6,59496622,59513601
59485200,59514575,Celf6,59509941,59510694
59485200,59514575,Celf6,59511316,59513384
101684607,101694895,Krt72,101684607,101694895
101684607,101694895,Krt72,101684768,101687128
20784943,20844156,Camk2g,20784943,20844119
20784943,20844156,Camk2g,20784943,20844156
20784943,20844156,Camk2g,20784951,20844098
20784943,20844156,Camk2g,20786677,20789465
20784943,20844156,Camk2g,20786695,20844034
20784943,20844156,Camk2g,20786716,20789435
20784943,20844156,Camk2g,20787441,20814336
20784943,20844156,Camk2g,20788980,20814977
20784943,20844156,Camk2g,20789396,20815482
20784943,20844156,Camk2g,20791498,20814320
20784943,20844156,Camk2g,20792320,20844117
20784943,20844156,Camk2g,20804605,20844122
20784943,20844156,Camk2g,20810233,20815577
20784943,20844156,Camk2g,20815517,20842733
20784943,20844156,Camk2g,20816012,20841226
20784943,20844156,Camk2g,20816050,20844093
20784943,20844156,Camk2g,20829082,20844079
78304696,78308393,Gm36644,78304696,78308393
101701743,101710781,Krt73,101701743,101710781
36207838,36223107,Gm16279,36207838,36223107
25992750,26002306,Ciao3,25992750,26001765
25992750,26002306,Ciao3,25992750,26002306
25992750,26002306,Ciao3,25992778,26001767
25992750,26002306,Ciao3,25992781,25994199
25992750,26002306,Ciao3,25992787,25995438
25992750,26002306,Ciao3,25992791,25998487
25992750,26002306,Ciao3,25992793,26001770
25992750,26002306,Ciao3,25995793,25998567
101719124,101726604,Krt2,101719124,101726604
155453132,155476227,Myh7b,155453132,155476227
155453132,155476227,Myh7b,155470980,155472304
155453132,155476227,Myh7b,155475371,155476123
127462219,127476000,Zfp668,127462219,127476000
127462219,127476000,Zfp668,127464889,127475952
127462219,127476000,Zfp668,127465165,127474818
127462219,127476000,Zfp668,127465165,127475949
127462219,127476000,Zfp668,127467213,127474829
127462219,127476000,Zfp668,127472942,127475306
101753861,101759229,Krt1,101753861,101759229
101753861,101759229,Krt1,101754264,101757396
101753861,101759229,Krt1,101754513,101755029
127475393,127485168,Zfp646,127475393,127477688
127475393,127485168,Zfp646,127475968,127479360
127475393,127485168,Zfp646,127476873,127485168
127475393,127485168,Zfp646,127478483,127485164
93927846,93956247,Ces1e,93927846,93956247
93927846,93956247,Ces1e,93928032,93956246
93927846,93956247,Ces1e,93936874,93946060
28507966,28521691,Hnrnpl,28507966,28521691
28507966,28521691,Hnrnpl,28508231,28516385
28507966,28521691,Hnrnpl,28508233,28521674
28507966,28521691,Hnrnpl,28508943,28514550
28507966,28521691,Hnrnpl,28510362,28521665
28507966,28521691,Hnrnpl,28510365,28516361
28507966,28521691,Hnrnpl,28512770,28521674
28507966,28521691,Hnrnpl,28512803,28513872
28507966,28521691,Hnrnpl,28514249,28518125
28507966,28521691,Hnrnpl,28514531,28520148
28507966,28521691,Hnrnpl,28517259,28518137
28507966,28521691,Hnrnpl,28520638,28521669
28507966,28521691,Hnrnpl,28510315,28521691
84347055,84347361,Gm12421,84347055,84347361
84616100,84617147,Gm12420,84616100,84617147
84659712,84660528,Gm12415,84659712,84660528
101767166,101778140,Krt77,101767166,101778140
101767166,101778140,Krt77,101773900,101778031
84802546,85050158,Cntln,84802546,85050158
84802546,85050158,Cntln,85016341,85050155
84802546,85050158,Cntln,84802641,84876745
84802546,85050158,Cntln,84802702,85050154
155464800,155464878,Mir499,155464800,155464878
70948267,70973270,Cybrd1,70948267,70973270
53918292,53933058,Bbip1,53918292,53933058
53918292,53933058,Bbip1,53919391,53932611
53918292,53933058,Bbip1,53919441,53932891
53918292,53933058,Bbip1,53919445,53932662
53918292,53933058,Bbip1,53919475,53932905
53918292,53933058,Bbip1,53919535,53932659
53918292,53933058,Bbip1,53919677,53932638
53918292,53933058,Bbip1,53921324,53933050
53918292,53933058,Bbip1,53931924,53932909
84392083,84408607,Fam161b,84392083,84408607
84392083,84408607,Fam161b,84392091,84408595
84392083,84408607,Fam161b,84393266,84408566
84392083,84408607,Fam161b,84395133,84401629
128330026,128334554,Myl6b,128330026,128334554
128330026,128334554,Myl6b,128330183,128331425
101792786,101801355,Krt76,101792786,101801355
53932737,54021564,Shoc2,53932737,54021298
53932737,54021564,Shoc2,53933304,53935264
53932737,54021564,Shoc2,53933311,54021562
53932737,54021564,Shoc2,53933316,53976073
53932737,54021564,Shoc2,53976396,54017971
53932737,54021564,Shoc2,53976604,54021564
53932737,54021564,Shoc2,53991517,54018412
93965281,93977803,Gm45727,93965281,93977803
93982864,94006375,Ces1f,93982864,94006375
93982864,94006375,Ces1f,93983216,93985367
93982864,94006375,Ces1f,93992015,93993906
93982864,94006375,Ces1f,93992467,93994033
93982864,94006375,Ces1f,94000552,94001974
93982864,94006375,Ces1f,94000861,94006355
115286216,115423685,Lgr5,115286216,115423685
115286216,115423685,Lgr5,115287919,115423398
115286216,115423685,Lgr5,115287919,115423398
115286216,115423685,Lgr5,115292553,115294904
115286216,115423685,Lgr5,115293750,115298984
115286216,115423685,Lgr5,115298578,115423664
115286216,115423685,Lgr5,115309280,115423664
115286216,115423685,Lgr5,115356438,115423648
101796832,101796942,,101796832,101796942
101815359,101818584,Gm49434,101815359,101818584
101826970,101833170,Krt4,101826970,101833170
44247636,44255525,Hmbs,44247636,44255525
44247636,44255525,Hmbs,44247649,44253678
44247636,44255525,Hmbs,44247707,44249272
44247636,44255525,Hmbs,44248387,44251013
44247636,44255525,Hmbs,44249072,44250828
44247636,44255525,Hmbs,44250779,44252530
44247636,44255525,Hmbs,44250807,44253602
44247636,44255525,Hmbs,44251312,44253604
44247636,44255525,Hmbs,44252514,44253602
35879899,35881829,Gm15650,35879899,35881829
84760044,84760629,Gm14767,84760044,84760629
142585227,142610410,Capn6,142585227,142610410
142585227,142610410,Capn6,142599058,142610328
149168142,149174794,2310047D07Rik,149168142,149174794
149168142,149174794,2310047D07Rik,149173964,149174776
149171626,149184492,Gm29264,149171626,149184492
149184760,149184837,,149184760,149184837
149184762,149185054,Gm24105,149184762,149185054
149201577,149224963,Alox5ap,149201577,149224963
149201577,149224963,Alox5ap,149202157,149224537
149201577,149224963,Alox5ap,149215821,149224560
149201577,149224963,Alox5ap,149224225,149224854
4297362,4527182,Ncoa1,4297362,4527182
4297362,4527182,Ncoa1,4299183,4394500
4297362,4527182,Ncoa1,4299441,4313578
4297362,4527182,Ncoa1,4299451,4466796
4297362,4527182,Ncoa1,4302796,4324947
4297362,4527182,Ncoa1,4324813,4404436
4297362,4527182,Ncoa1,4345742,4363122
4297362,4527182,Ncoa1,4388894,4394470
4297362,4527182,Ncoa1,4389111,4466807
101837767,101848759,Krt79,101837767,101848759
101837767,101848759,Krt79,101838325,101839406
101837767,101848759,Krt79,101839915,101844954
101837767,101848759,Krt79,101839972,101842422
22212885,22212982,Gm22506,22212885,22212982
29779233,29821758,Odf2,29779233,29791119
29779233,29821758,Odf2,29779246,29782589
29779233,29821758,Odf2,29779732,29812551
29779233,29821758,Odf2,29779797,29812551
29779233,29821758,Odf2,29779807,29821107
29779233,29821758,Odf2,29779807,29821757
29779233,29821758,Odf2,29779810,29821107
29779233,29821758,Odf2,29779823,29792288
29779233,29821758,Odf2,29779827,29792258
29779233,29821758,Odf2,29779829,29821757
29779233,29821758,Odf2,29779830,29812551
29779233,29821758,Odf2,29779837,29791505
29779233,29821758,Odf2,29779846,29794091
29779233,29821758,Odf2,29779907,29821758
29779233,29821758,Odf2,29780075,29812551
29779233,29821758,Odf2,29780095,29781002
29779233,29821758,Odf2,29780155,29812551
29779233,29821758,Odf2,29780168,29821107
29779233,29821758,Odf2,29780552,29812548
29779233,29821758,Odf2,29782008,29791133
29779233,29821758,Odf2,29793556,29804885
29779233,29821758,Odf2,29793587,29805326
29779233,29821758,Odf2,29802636,29805289
29779233,29821758,Odf2,29804406,29809207
29779233,29821758,Odf2,29815484,29816757
53948786,53951200,Gm50273,53948786,53951200
22415884,22426229,Gm27151,22415884,22425506
22415884,22426229,Gm27151,22415914,22426229
22418499,22419278,Nsa2-ps1,22418499,22419278
84834133,84835074,Gm12418,84834133,84835074
84841791,84842426,Gm12419,84841791,84842426
53964893,53989873,4930484I04Rik,53964893,53989873
53964893,53989873,4930484I04Rik,53964953,53989838
85094764,85095166,Gm12417,85094764,85095166
22727969,22728036,Mir204,22727969,22728036
54032582,54037413,Adra2a,54032582,54037413
54032582,54037413,Adra2a,54033691,54037411
3637293,3659075,Camsap3,3637293,3659075
3637293,3659075,Camsap3,3637794,3659048
3637293,3659075,Camsap3,3637812,3658928
3637293,3659075,Camsap3,3637812,3658928
3637293,3659075,Camsap3,3637812,3658928
3637293,3659075,Camsap3,3637812,3658928
3637293,3659075,Camsap3,3637812,3658928
3637293,3659075,Camsap3,3637812,3658928
3637293,3659075,Camsap3,3638051,3648927
3637293,3659075,Camsap3,3650548,3659041
3637293,3659075,Camsap3,3652083,3659043
3637293,3659075,Camsap3,3656338,3659042
155067572,155141241,Plch2,155067572,155095441
155067572,155141241,Plch2,155067583,155080617
155067572,155141241,Plch2,155067824,155074248
155067572,155141241,Plch2,155067824,155091464
155067572,155141241,Plch2,155067824,155103889
155067572,155141241,Plch2,155067830,155077077
155067572,155141241,Plch2,155067834,155095441
155067572,155141241,Plch2,155068119,155127611
155067572,155141241,Plch2,155070156,155139209
155067572,155141241,Plch2,155082601,155095441
155067572,155141241,Plch2,155091528,155141241
155067572,155141241,Plch2,155093534,155103885
8744204,9205480,Pde10a,8744204,9200503
8744204,9205480,Pde10a,8744282,9142258
8744204,9205480,Pde10a,8745633,9201328
8744204,9205480,Pde10a,8745858,9017563
8744204,9205480,Pde10a,8975850,9118025
8744204,9205480,Pde10a,9020525,9118021
8744204,9205480,Pde10a,9020525,9205480
8744204,9205480,Pde10a,9020611,9205477
8744204,9205480,Pde10a,9021860,9163228
8744204,9205480,Pde10a,9068817,9201232
8744204,9205480,Pde10a,9099258,9201199
8744204,9205480,Pde10a,9112123,9149362
8744204,9205480,Pde10a,9142975,9203120
8744204,9205480,Pde10a,9164401,9201223
124256753,124387823,Pitpnm2,124256753,124387823
124256753,124387823,Pitpnm2,124256754,124387514
124256753,124387823,Pitpnm2,124257810,124325245
124256753,124387823,Pitpnm2,124258357,124262617
124256753,124387823,Pitpnm2,124259138,124260163
124256753,124387823,Pitpnm2,124263280,124264695
124256753,124387823,Pitpnm2,124270868,124327810
124256753,124387823,Pitpnm2,124271041,124278324
124256753,124387823,Pitpnm2,124281669,124323181
124256753,124387823,Pitpnm2,124256753,124354481
22955594,23053288,C330002G04Rik,22955594,23053288
22955594,23053288,C330002G04Rik,23014754,23053217
54072990,54075089,Gm50186,54072990,54075089
54186822,54189885,Gm50187,54186822,54189885
54433411,54433635,Gm50188,54433411,54433635
101854436,101862722,Krt78,101854436,101862722
54912237,54925156,Gm50191,54912237,54925156
55055700,55115670,Gpam,55055700,55091523
55055700,55115670,Gpam,55056068,55115648
55055700,55115670,Gpam,55058166,55087883
55055700,55115670,Gpam,55059073,55115635
55055700,55115670,Gpam,55079607,55115670
130267841,130283391,Klra13-ps,130267841,130280181
130267841,130283391,Klra13-ps,130268124,130283391
130267841,130283391,Klra13-ps,130268124,130283391
130267841,130283391,Klra13-ps,130268136,130283390
84787954,84793370,Gm14764,84787954,84793370
84834479,84834845,Gm14766,84834479,84834845
142610219,142610340,,142610219,142610340
78312764,78323503,Kctd17,78312764,78322697
78312764,78323503,Kctd17,78312764,78323503
78312764,78323503,Kctd17,78312828,78323109
78312764,78323503,Kctd17,78312862,78323043
78312764,78323503,Kctd17,78312891,78320060
78312764,78323503,Kctd17,78312996,78322847
78312764,78323503,Kctd17,78313890,78322789
78312764,78323503,Kctd17,78314251,78322827
78312764,78323503,Kctd17,78314286,78322780
78312764,78323503,Kctd17,78317187,78321934
78312764,78323503,Kctd17,78318182,78321779
84837290,84837726,Gm6964,84837290,84837726
84866774,84867035,Gm14761,84866774,84867035
84869498,84878437,Gm14762,84870267,84878437
84869498,84878437,Gm14762,84869498,84871268
130297837,130297910,U6,130297837,130297910
103503213,103506804,Gm44439,103503213,103506804
103527854,103528811,Gm7946,103527854,103528811
8005214,8012119,Rbm3,8005214,8009157
8005214,8012119,Rbm3,8005217,8011936
8005214,8012119,Rbm3,8007023,8011918
8005214,8012119,Rbm3,8008598,8012119
8005214,8012119,Rbm3,8008600,8011962
8005214,8012119,Rbm3,8008607,8011935
8005214,8012119,Rbm3,8008607,8012012
8005214,8012119,Rbm3,8008711,8011935
8005214,8012119,Rbm3,8009129,8011961
8005214,8012119,Rbm3,8009267,8011936
8005214,8012119,Rbm3,8010713,8011998
103541317,103543791,Gm44441,103541317,103543791
103565665,103565726,Gm24784,103565665,103565726
103582482,103584854,Gm44440,103582482,103584854
103592924,103594417,Gm44436,103592924,103594417
103809474,103809539,Gm25656,103809474,103809539
103941221,103941600,Pou5f1-rs5,103941221,103941600
104277087,104277538,Gm18100,104277087,104277538
130300252,130314537,Klra3,130300252,130314537
130300252,130314537,Klra3,130300356,130314465
115405891,115418353,A930009A15Rik,115405891,115418353
115434931,115436233,Gm8960,115434931,115436233
115638321,115705427,4930422I22Rik,115638321,115705427
115652737,115685798,Tspan8,115652737,115669217
115652737,115685798,Tspan8,115653176,115685525
115652737,115685798,Tspan8,115653188,115685798
115652737,115685798,Tspan8,115653189,115685520
130340880,130363837,Klra1,130340880,130363837
130340880,130363837,Klra1,130341183,130352430
14803204,14803316,U6,14803204,14803316
96627241,96627628,Gm17622,96627241,96627628
14804739,14813681,AW209491,14804739,14812788
14804739,14813681,AW209491,14804833,14813681
14804739,14813681,AW209491,14804862,14811499
28508729,28509922,Gm44702,28508729,28509922
128345834,128361740,Esyt1,128345834,128361739
128345834,128361740,Esyt1,128346125,128356175
128345834,128361740,Esyt1,128349367,128361737
128345834,128361740,Esyt1,128350060,128354423
128345834,128361740,Esyt1,128350747,128361740
130375235,130384898,Gm6584,130375235,130384898
19115935,19129619,Ercc2,19115935,19129619
19115935,19129619,Ercc2,19115943,19119613
19115935,19129619,Ercc2,19115956,19129617
19115935,19129619,Ercc2,19115965,19129619
19115935,19129619,Ercc2,19116133,19119818
19115935,19129619,Ercc2,19116194,19128386
19115935,19129619,Ercc2,19122128,19127605
19115935,19129619,Ercc2,19124321,19125831
19115935,19129619,Ercc2,19127355,19128711
19115935,19129619,Ercc2,19127586,19127990
130378520,130378858,Gm15861,130378520,130378858
130430032,130453991,Gm6590,130430032,130453991
130460152,130480544,Gm53052,130460152,130480544
130498277,130499300,Gm27013,130498277,130499300
130522142,130522262,Gm44526,130522142,130522262
130544602,130545764,Gm8816,130544602,130545764
15036585,15038721,Gm19189,15036585,15038721
101905133,101912917,Krt8,101905133,101912917
130556729,130568645,Gm26996,130556729,130568645
130594451,130594673,Gm26914,130594451,130594673
15117729,15119280,Gm48329,15117729,15119280
130606019,130607837,Gm27047,130606019,130607837
15292971,15293216,Gm48338,15292971,15293216
130654065,130674944,Gm53051,130654065,130674944
15293217,15293713,Gm9512,15293217,15293713
15550209,15587685,Gm20043,15550209,15587685
130698351,130698581,Gm20997,130698351,130698581
130705124,130724586,Gm44527,130705124,130724586
130705124,130724586,Gm44527,130706535,130723190
130753199,130754272,Gm18423,130753199,130754272
130763585,130776950,Gm44525,130763585,130776950
130802795,130803023,Gm44118,130802795,130803023
130815068,130817345,Gm21940,130815068,130817345
15614887,15638321,Gm6556,15614887,15637254
15614887,15638321,Gm6556,15636401,15638321
130845191,130865654,Gm21940,130845191,130864505
130845191,130865654,Gm21940,130847280,130865654
15634565,15635880,Gm26645,15634565,15635880
130888134,130888352,Gm44128,130888134,130888352
130916211,130917371,Gm44988,130916211,130917371
130930320,130930425,Gm44828,130930320,130930425
130957253,130957469,Gm44989,130957253,130957469
130964111,130980882,Gm44133,130964111,130979510
130964111,130980882,Gm44133,130966191,130980882
58954383,59281784,Ntrk2,58954383,59277779
58954383,59281784,Ntrk2,58954404,58954856
58954383,59281784,Ntrk2,58954453,59080934
58954383,59281784,Ntrk2,58955511,59281784
58954383,59281784,Ntrk2,58955692,59026563
58954383,59281784,Ntrk2,58956095,59084841
58954383,59281784,Ntrk2,58956505,59036293
58954383,59281784,Ntrk2,58956505,59036293
58954383,59281784,Ntrk2,58983629,58987092
58954383,59281784,Ntrk2,59019549,59133963
131015144,131029432,Gm44134,131015144,131028470
131015144,131029432,Gm44134,131015207,131029432
131048783,131049008,Gm44149,131048783,131049008
131061194,131081300,Gm44150,131061194,131081300
131107907,131109650,Gm8837,131107907,131109650
87269177,87269283,U6,87269177,87269283
87314085,87322451,Kcnj13,87314085,87322451
87314085,87322451,Kcnj13,87314724,87317111
131143067,131159342,Gm5581,131143067,131158466
131143067,131159342,Gm5581,131145149,131159342
101912647,101917877,Gm36026,101912647,101917877
55087934,55106247,Gm31356,55087934,55106247
101936615,101940462,Krt18,101936615,101940462
55169165,55184745,Tectb,55169165,55178097
55169165,55184745,Tectb,55169168,55183301
55169165,55184745,Tectb,55169317,55184745
55169165,55184745,Tectb,55178010,55183126
55169165,55184745,Tectb,55178062,55178756
55169165,55184745,Tectb,55180465,55184736
131196186,131224325,Klra2,131196186,131224325
131196186,131224325,Klra2,131196952,131224325
31498059,31499427,Gm49712,31498059,31499427
31566018,31566160,Gm24879,31566018,31566160
31579784,31585002,Gm49705,31579784,31585002
87342977,87343071,U6,87342977,87343071
31630660,31631429,Gm49713,31630660,31631429
31697628,31717838,Meltf,31697628,31717838
24300971,24626553,Col19a1,24300971,24491826
24300971,24626553,Col19a1,24303075,24626553
24300971,24626553,Col19a1,24318851,24626492
101982208,102005608,Eif4b,101982208,102005608
101982208,102005608,Eif4b,101982299,101998782
101982208,102005608,Eif4b,101994459,101997464
101982208,102005608,Eif4b,102002999,102003634
44259046,44272967,Vps11,44259046,44272967
44259046,44272967,Vps11,44259225,44272941
44259046,44272967,Vps11,44263358,44272931
44259046,44272967,Vps11,44265731,44269409
44259046,44272967,Vps11,44266633,44272934
44259046,44272967,Vps11,44267067,44270934
31743807,31744686,Gm15703,31743807,31744686
31752465,31754198,Gm49731,31752465,31754198
131230491,131231012,Gm5582,131230491,131231012
31752669,31764864,Pigz,31752669,31764864
31752669,31764864,Pigz,31752761,31763166
31752669,31764864,Pigz,31752800,31761441
31752669,31764864,Pigz,31760731,31761441
131247392,131247506,Gm44182,131247392,131247506
104469751,104840367,Cntn6,104469751,104619910
104469751,104840367,Cntn6,104469772,104840209
104469751,104840367,Cntn6,104469883,104840367
104469751,104840367,Cntn6,104470015,104548623
104469751,104840367,Cntn6,104470209,104840362
55181110,55181166,Mir6715,55181110,55181166
55186531,55229668,Gucy2g,55186531,55229668
31765868,31767312,0610012G03Rik,31765868,31767312
31767331,31780599,Ncbp2,31767331,31777290
31767331,31780599,Ncbp2,31767419,31775966
31767331,31780599,Ncbp2,31767424,31780599
31767331,31780599,Ncbp2,31767464,31775903
4397647,4397760,5S_rRNA,4397647,4397760
4444482,4444767,7SK,4444482,4444767
4559317,4572370,2900045O20Rik,4559317,4572370
4574113,4579122,Gm31938,4574113,4579122
4602546,4619538,Gm46332,4602546,4603785
4602546,4619538,Gm46332,4602547,4619538
4622401,4626756,Gm48610,4622401,4626756
4639797,4643029,Gm3625,4639797,4643029
4639797,4643029,Gm3625,4642826,4642927
123980934,123996484,Zfp276,123980934,123996484
123980934,123996484,Zfp276,123981010,123984375
123980934,123996484,Zfp276,123981023,123996482
123980934,123996484,Zfp276,123981425,123991809
123980934,123996484,Zfp276,123982714,123983277
123980934,123996484,Zfp276,123985067,123994861
123980934,123996484,Zfp276,123986199,123994656
123980934,123996484,Zfp276,123991560,123992382
84408431,84420570,Coq6,84408431,84420566
84408431,84420570,Coq6,84408770,84420570
84408431,84420570,Coq6,84408804,84420566
84408431,84420570,Coq6,84408813,84420566
84408431,84420570,Coq6,84408815,84413878
84408431,84420570,Coq6,84408817,84420562
84408431,84420570,Coq6,84408838,84417805
84408431,84420570,Coq6,84415200,84419017
84408431,84420570,Coq6,84415200,84420566
84408431,84420570,Coq6,84417776,84418939
84408431,84420570,Coq6,84408742,84420570
31778490,31822105,Senp5,31778490,31822105
31778490,31822105,Senp5,31781324,31821981
31778490,31822105,Senp5,31782336,31807995
31778490,31822105,Senp5,31794640,31809171
31778490,31822105,Senp5,31795778,31821996
55240370,55286152,Acsl5,55240370,55266534
55240370,55286152,Acsl5,55240392,55268886
55240370,55286152,Acsl5,55241801,55286152
55240370,55286152,Acsl5,55261302,55266871
55240370,55286152,Acsl5,55272766,55277255
55240370,55286152,Acsl5,55282659,55284110
78323867,78352834,Tmprss6,78323867,78352834
78323867,78352834,Tmprss6,78323873,78352809
78323867,78352834,Tmprss6,78324240,78326635
78323867,78352834,Tmprss6,78326668,78349543
78323867,78352834,Tmprss6,78327983,78328579
78323867,78352834,Tmprss6,78327985,78349543
78323867,78352834,Tmprss6,78329497,78352801
44274749,44275025,7SK,44274749,44275025
44286041,44286478,Gm10080,44286041,44286478
44289930,44290747,9430081H08Rik,44289930,44290747
59524567,59557568,Parp6,59524567,59557568
59524567,59557568,Parp6,59524569,59557552
59524567,59557568,Parp6,59524644,59557550
59524567,59557568,Parp6,59524645,59533138
59524567,59557568,Parp6,59524660,59532301
59524567,59557568,Parp6,59524663,59532145
59524567,59557568,Parp6,59525955,59557563
59524567,59557568,Parp6,59528839,59534866
59524567,59557568,Parp6,59532603,59539192
59524567,59557568,Parp6,59537906,59557568
59524567,59557568,Parp6,59544914,59557420
59524567,59557568,Parp6,59555480,59556815
128347837,128347899,Mir6916,128347837,128347899
128358132,128381228,Gm29585,128358132,128361505
128358132,128381228,Gm29585,128360440,128361526
128358132,128381228,Gm29585,128361197,128381228
128377832,128383643,Zc3h10,128377832,128383643
128377832,128383643,Zc3h10,128380667,128383612
128377832,128383643,Zc3h10,128380949,128383508
128377832,128383643,Zc3h10,128381207,128383594
94028997,94063936,Ces1g,94028997,94063936
31789180,31789624,Gm15696,31789180,31789624
31800927,31801052,,31800927,31801052
128383983,128385174,Rpl41,128383983,128385022
128383983,128385174,Rpl41,128383983,128385031
128383983,128385174,Rpl41,128383983,128385174
128383983,128385174,Rpl41,128383986,128385007
128383983,128385174,Rpl41,128383989,128384971
128383983,128385174,Rpl41,128383990,128385028
128383983,128385174,Rpl41,128384345,128384981
31805649,31805941,Gm49733,31805649,31805941
31805996,31806278,Gm15694,31805996,31806278
31810071,31810686,Hmgb1-ps6,31810071,31810686
87397993,87403204,Snorc,87397993,87403204
87397993,87403204,Snorc,87400261,87403180
55259723,55304464,Zdhhc6,55259723,55304442
55259723,55304464,Zdhhc6,55268006,55304425
55259723,55304464,Zdhhc6,55285344,55304428
55259723,55304464,Zdhhc6,55286733,55304464
55259723,55304464,Zdhhc6,55286752,55304462
55259723,55304464,Zdhhc6,55287220,55291521
55259723,55304464,Zdhhc6,55289235,55304420
55259723,55304464,Zdhhc6,55289235,55304458
55259723,55304464,Zdhhc6,55290944,55292881
55259723,55304464,Zdhhc6,55298951,55302794
55259723,55304464,Zdhhc6,55302306,55302951
31835108,31898160,Pak2,31835108,31898160
31835108,31898160,Pak2,31851903,31862818
24587922,24588058,Gm26418,24587922,24588058
24633168,24634504,Tubb4b-ps2,24633168,24634504
24650616,24651491,Gm28439,24650616,24651491
24651488,24651781,Gm10222,24651488,24651781
84913960,84935105,Tasl,84913960,84935105
58449348,58463225,Clk1,58449348,58463225
58449348,58463225,Clk1,58451159,58452020
58449348,58463225,Clk1,58451159,58452596
58449348,58463225,Clk1,58451159,58455924
58449348,58463225,Clk1,58451159,58463225
58449348,58463225,Clk1,58451159,58463225
58449348,58463225,Clk1,58451159,58463225
58449348,58463225,Clk1,58451475,58452984
58449348,58463225,Clk1,58453749,58459557
58449348,58463225,Clk1,58453774,58460417
58449348,58463225,Clk1,58455302,58463225
58449348,58463225,Clk1,58456069,58456585
58449348,58463225,Clk1,58460785,58463225
85076262,85076775,Gm14772,85076262,85076775
163219990,163242166,Asb11,163219990,163242166
163219990,163242166,Asb11,163220006,163229993
163219990,163242166,Asb11,163221054,163242160
25644568,25746604,Tacc1,25644568,25691465
25644568,25746604,Tacc1,25644568,25691558
25644568,25746604,Tacc1,25647745,25652587
25644568,25746604,Tacc1,25656644,25657549
25644568,25746604,Tacc1,25657575,25731768
25644568,25746604,Tacc1,25657585,25691465
25644568,25746604,Tacc1,25659310,25730917
25644568,25746604,Tacc1,25661298,25746585
25644568,25746604,Tacc1,25672538,25730879
25644568,25746604,Tacc1,25672775,25746604
25644568,25746604,Tacc1,25672777,25691424
25644568,25746604,Tacc1,25689510,25690559
25644568,25746604,Tacc1,25690476,25691418
105040218,105042114,Gm5315,105040218,105042114
31884728,31884860,Gm26419,31884728,31884860
105209566,105209704,Gm23339,105209566,105209704
105376680,105376759,,105376680,105376759
